ticker,name,sector,market_cap,price,pe_trailing,pe_forward,pb,ps,ev_ebitda,peg,fcf_yield,roe,roa,gross_margin,operating_margin,profit_margin,debt_to_equity,current_ratio,revenue_growth,earnings_growth,dividend_yield,held_by_insiders,short_ratio,valuation_score,quality_score,growth_score,composite_score
FFH.TO,FAIRFAX FINANCIAL HOLDINGS LTD.,Financial Services,44772708352,2170.9,7.830964,9.941512,1.2623786,1.1606394,7.496,0.28,0.05405496966975173,0.17221001,0.04338,0.42960998,0.14423001,0.11723,45.824,2.549,-0.078,-0.271,0.96,0.02566,2.15,0.8309154796679162,0.4791789143640996,0.11051513004756602,0.5997476293685279
CTC-A.TO,"CANADIAN TIRE CORPORATION, CL. ",Consumer Cyclical,8992595968,170.92,14.125619,10.793408,1.5455005,0.54733783,11.766,0.32,0.2049839088244913,0.108260006,0.04018,0.31946,0.07074,0.03628,159.236,1.743,0.033,2.026,4.21,0.0202,4.15,0.7621915656954643,0.3622436628972577,0.5888219815808117,0.596204362098894
EQX.TO,EQUINOX GOLD CORP,Basic Materials,14401186816,18.25,35.784313,7.9548545,1.7092177,5.9679637,10.471,,0.02478584831657252,0.05224,0.06882,0.5886,0.45292,0.25157,12.856,1.239,2.243,,0.23,0.04487,5.87,0.5146567678789901,0.5469158856958422,0.979253112033195,0.595636910738019
GIB-A.TO,CGI INC,Technology,18215356416,86.98,11.355092,8.958181,3.3154185,1.1148703,7.5,0.99,0.11674571100525206,0.16622,0.08814,0.20468001,0.16584,0.10262,44.158,0.945,0.033,0.106,0.78,0.0038100001,5.34,0.6970458205350992,0.5291293472121359,0.34491954255642143,0.5854561131752604
IBM.NE,IBM CDR (CAD HEDGED),Technology,280183046144,32.56,25.046156,,0.79151577,4.2840133,6.244,,0.04196363976269012,0.30156,0.051370002,0.57808995,0.1717,0.120900005,237.831,0.932,0.091,,2.23,,0.72,0.6349543988432877,0.5638494080759876,0.45020746887966806,0.5823556125801898
CRT-UN.TO,CT REAL ESTATE INVESTMENT TRUST,Real Estate,4173487104,17.51,9.568306,13.366413,2.0736618,6.8259706,,,0.06235594779976107,0.12219,0.03795,0.78019994,0.74894,0.39808998,70.819,0.072,0.048,0.096,5.43,0.30954,13.42,0.5659259259259259,0.6971072379569111,0.3579850217589313,0.5806482495117216
AEM.TO,AGNICO EAGLE MINES LIMITED,Basic Materials,123923980288,247.83,17.03299,12.760318,3.4411137,9.152982,12.692,28.26,0.034560844205023734,0.22298001,0.15502,0.73870003,0.62821996,0.39457,1.215,3.148,0.661,1.086,0.99,0.00065,2.78,0.3596097949801654,0.7948842088275642,0.7992106062139459,0.577895961511822
UNH.NE,UNITEDHEALTH CDR (CAD HEDGED),Healthcare,492149112832,18.1,19.673914,,0.124240726,1.1309639,2.507,,0.03610440127333022,0.17476,0.05361,0.19701,0.03813,0.04042,75.734,0.823,0.122,-0.602,2.68,,0.04,0.83324991658325,0.32800486449723926,0.29763181864183785,0.5760714336619344
MTSU.NE,MITSUBISHI CDR (CAD HEDGED),Industrials,89487032320,24.44,13.428572,,1.0867376,0.00473076,6.796,1.04,0.3911111243341319,0.08984999,0.011460001,0.0875,0.01757,0.04232,63.488,1.411,0.12,0.683,1.87,,0.77,0.7916166793359776,0.2610690366681652,0.5861653678777452,0.5751073076835084
CDE.TO,COEUR MINING INC,Basic Materials,25055850496,24.22,14.247058,,1.7556792,9.763581,18.37,,0.020292771146649805,0.12146,0.06677,0.58368,0.43047002,0.31146,7.426,3.731,1.378,4.833,0.23,0.009,7.58,0.44387442998554105,0.596592546483614,0.9618156057079243,0.575016947118224
BIR.TO,BIRCHCLIFF ENERGY LTD.,Energy,1807832064,6.59,26.36,8.2375,0.7847107,2.5230339,6.569,0.62,0.04148055203428453,0.03026,0.02402,0.63969004,0.45669997,0.09645,23.092,1.17,0.106,0.042,1.82,0.01686,3.42,0.7105027228565239,0.44156263328376616,0.4290861248861451,0.5741612018105019
NTR.TO,NUTRIEN LTD,Basic Materials,47258316800,98.45,14.628529,13.244826,1.3678532,1.7583182,10.807,0.58,0.03398872606482675,0.098129995,0.04227,0.32269,0.06498,0.08881,55.359,1.239,0.19,12.5,3.04,0.00029999999,1.72,0.6815069309075157,0.3147744694585653,0.8142596903147454,0.5730634833114675
AGF-B.TO,"AGF MANAGEMENT LTD., CL.B, NV",Financial Services,1082566272,16.95,9.854651,7.8576264,0.9053037,1.8871021,7.949,2.79,0.08219647175558782,0.09666,0.05488,1.0,0.16802,0.20163,13.977,1.668,-0.101,-0.413,3.19,0.27096,4.13,0.6968098117610788,0.5975435441666379,0.08197550855176602,0.5698414726216275
III.TO,IMPERIAL METALS CORP,Basic Materials,1118914944,6.28,8.722222,89.71429,1.0889544,1.6706882,3.581,0.27,0.06491892202308454,0.13299,0.08432999,0.40894002,0.26006,0.1894,18.869,0.663,-0.125,-0.68,,0.51513,7.54,0.7174515806533351,0.5794947608673099,0.04477279627568059,0.5682648760715782
NVDA.TO,NVIDIA CDR (CAD HEDGED),Technology,7111204405248,50.81,43.801727,,33.50669,32.931694,8.883,0.68,0.008174283157590206,1.01485,0.51188,0.71068,0.65024,0.55603004,7.255,3.905,0.732,0.956,0.02,,0.02,0.3110633607709631,0.8346474392226025,0.794949903855885,0.5669007696917752
QCOM.NE,QUALCOMM CDR (CAD HEDGED),Technology,301834960896,26.36,38.2029,,0.9688385,6.815892,2.164,,0.02271522767159628,0.2334,0.14713,0.55429,0.26235,0.12512,73.767,2.816,0.1,,2.01,,0.36,0.555861416972528,0.611756636811103,0.47717842323651455,0.5636222948556272
PXT.TO,PAREX RESOURCES INC,Energy,2605689344,27.11,10.715415,3.997741,0.971918,3.0269113,6.351,,0.0012541306996264863,0.09391,0.05444,0.63713,0.15586,0.20798999,9.509,1.491,-0.115,-0.942,5.68,0.01541,5.45,0.8016723390056724,0.4475222187640488,0.036727051917822086,0.5629780038579265
MSFT.TO,MICROSOFT CDR (CAD HEDGED),Technology,4124497936384,29.69,24.138212,,9.246781,12.958994,1.452,1.25,0.008973516721515985,0.34013999,0.14814,0.68309,0.46326,0.39341998,30.271,1.283,0.183,0.234,0.85,,0.54,0.4302238746683191,0.7466484536201312,0.5763283068515332,0.5628881421289355
HBM.TO,HUDBAY MINERALS INC.,Basic Materials,13643685888,34.35,15.0,11.738655,2.8216732,5.7485824,12.741,2.85,0.03999010857321784,0.19476,0.06909,0.55254,0.40037,0.27745,29.458,1.356,0.273,0.919,0.12,0.04044,4.02,0.4533232139128825,0.6482980023285034,0.7240461491751846,0.5621728301476951
AMZN.TO,AMAZON.COM CDR (CAD HEDGED),Consumer Cyclical,3748086415360,30.35,30.35,,0.53885967,5.0460525,2.688,1.77,0.0026164350767932023,0.24285,0.06845,0.50604,0.1314,0.12224,53.3,1.177,0.166,0.748,,,1.02,0.5957865969561876,0.48257656972253926,0.6273504706001417,0.5608976684710039
GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Real Estate,5584668160,91.99,14.262015,13.853915,1.0119244,8.86641,18.614,,0.039709431902933336,0.06902,0.03029,0.82253,0.73744005,0.61876,57.308,0.347,0.078,1.121,3.76,0.0027,2.56,0.49217906795684574,0.6335834745420802,0.5935077421313633,0.5568699113878555
PAAS.TO,PAN AMERICAN SILVER CORP,Basic Materials,32700975104,77.61,17.84138,9.939034,3.3985667,8.175243,16.41,6.95,0.03975799045334792,0.20796,0.10613,0.55724996,0.48094,0.3165,11.489,2.84,0.493,1.316,1.1,0.00065,2.85,0.3745179815014123,0.7100177519567498,0.796994231353102,0.5553143386385339
IFC.TO,INTACT FINANCIAL CORPORATION,Financial Services,46499012608,263.02,14.005323,13.946249,2.351479,1.7645344,8.448,0.49,0.09313638524992914,0.17187999,0.051420003,0.18932,0.17292999,0.13058,23.328,0.35,0.045,0.117,2.24,0.00307,2.52,0.6597405676353044,0.4849396548742954,0.3674324461086934,0.5547140299399596
ATRL.TO,ATKINSREALIS GROUP INC,Industrials,14018621440,85.7,5.500642,17.262075,2.5972056,1.2238227,14.849,0.69,0.04009247859395795,0.56969,0.03889,0.08716,0.05896,0.23152,24.445,1.062,0.178,0.436,0.09,0.00233,3.64,0.6128715174377942,0.44592281356987246,0.6066896063151503,0.553512184415625
CHE-UN.TO,CHEMTRADE LOGISTICS INCOME FUND,Basic Materials,1880416384,16.87,16.378641,10.483471,2.463853,0.9242755,7.133,,0.06426887631287519,0.14930001,0.07117,0.22305,0.10835,0.05686,172.874,0.997,0.079,-0.231,4.27,0.00207,3.82,0.7104119675230787,0.4340324607209139,0.3049741928954559,0.5528634739481776
REI-UN.TO,RIOCAN REAL EST UN,Real Estate,6197858304,21.29,25.650604,13.141975,0.8751234,4.559562,20.963,0.4,0.01860681066644792,0.03419,0.026080001,0.50713,0.48541,0.18143,100.361,0.516,0.788,,5.44,0.00364,4.73,0.5451033336315988,0.42108736498714716,0.8838174273858921,0.5525048586691848
BNS.TO,BANK OF NOVA SCOTIA,Financial Services,130728992768,106.16,15.750743,11.582792,1.4942012,3.9314625,,1.09,0.0,0.10333,0.00622,0.0,0.37487,0.26853,,,0.235,1.614,4.14,0.00021,3.92,0.64985488412389,0.31773985314290326,0.7667138953547212,0.5511434749651694
OVV.TO,OVINTIV INC,Energy,23200894976,82.56,19.798561,7.7871366,1.4756762,2.617134,7.055,1.85,0.037741002013318196,0.07126,0.06467,0.5269,0.2922,0.086969994,67.572,0.565,0.085,,1.99,0.0044400003,2.5,0.6489469969830594,0.4584961556639116,0.43983402489626555,0.5509222567083386
ONEX.TO,ONEX CORPORATION,Financial Services,8296154624,108.75,8.935908,5.4375,0.6212521,9.783201,13.161,3.19,0.09549604845937838,0.0641,0.03243,0.80189,0.75138,0.68160003,0.314,1.943,-0.104,-0.254,0.37,0.14872,6.15,0.585868916814336,0.6870958259847147,0.11160813682825625,0.5501592180260565
